A. David Edwards	Daniel Rueckert
Richard S. Zemel	Craig Boutilier
Richard S. Zemel	Cynthia Dwork
Richard S. Zemel	Raquel Urtasun
Richard S. Zemel	Ryan Prescott Adams
Richard S. Zemel	Sanja Fidler
Richard S. Zemel	Yoshua Bengio
Richard S. Zemel	Yu Wu
Richard Socher	Andrew Y. Ng
Richard Socher	Bharath Putta Bath
Richard Socher	Brody Huval
Richard Socher	Christopher D. Manning
Richard Socher	Cliff Chiung-Yu Lin
Richard Socher	Danqi Chen
Richard Socher	Eric H. Huang
Richard Socher	Jeffrey Pennington
Richard Socher	Milind Ganjoo
Rie Johnson	Tong Zhang 0001
Rik Sarkar	Andreas Krause 0001
Rina Foygel	John D. Lafferty
Rina Foygel	Mathias Drton
Rina Foygel	Michael Horrell
Rina Foygel	Nathan Srebro
Rina Foygel	Nati Srebro
Rina Foygel	Ohad Shamir
Rina Foygel	Ruslan Salakhutdinov
Rina Foygel Barber	John D. Lafferty
Rina Foygel Barber	Prateek Jain 0002
Rina Panigrahy	Gregory Valiant
Rina Panigrahy	Li Zhang 0001
Rishabh K. Iyer	Bethany Lusch
Rishabh K. Iyer	Haochen Wei
Rishabh K. Iyer	Jeff A. Bilmes
Rishabh K. Iyer	Rahul Kidambi
Rishabh K. Iyer	Shengjie Wang
Rishabh K. Iyer	Stefanie Jegelka
Rishabh K. Iyer	Wenruo Bai
Risheng Liu	Zhixun Su
Rishi Gupta	Ravi Kumar 0001
Rishi Gupta	Sergei Vassilvitskii
Rishit Sheth	Roni Khardon
Rishit Sheth	Yuyang Wang
Rishita Anubhai	Adam Coates
Rishita Anubhai	Andrew Y. Ng
Rishita Anubhai	Awni Y. Hannun
Rishita Anubhai	Billy Jun
Rishita Anubhai	Bo Xiao
Rishita Anubhai	Bryan Catanzaro
Rishita Anubhai	Carl Case
Rishita Anubhai	Chong Wang
Rishita Anubhai	Christopher Fougner
Rishita Anubhai	Dani Yogatama
Rishita Anubhai	David Seetapun
Rishita Anubhai	Eric Battenberg
Rishita Anubhai	Erich Elsen
Rishita Anubhai	Greg Diamos
Rishita Anubhai	Jared Casper
Rishita Anubhai	Jesse Engel
Rishita Anubhai	Jingdong Chen
Rishita Anubhai	Jonathan Raiman
Rishita Anubhai	Jun Zhan
Rishita Anubhai	Libby Lin
Rishita Anubhai	Linxi Fan
Rishita Anubhai	Mike Chrzanowski
Rishita Anubhai	Patrick LeGresley
Rishita Anubhai	Ryan Prenger
Rishita Anubhai	Sanjeev Satheesh
Rishita Anubhai	Sharan Narang
Rishita Anubhai	Sheng Qian
Rishita Anubhai	Sherjil Ozair
Rishita Anubhai	Shubho Sengupta
Rishita Anubhai	Tony Han
Rishita Anubhai	Xiangang Li
Rishita Anubhai	Yan Xie
Rishita Anubhai	Yi Wang
Rishita Anubhai	Zhenyao Zhu
Rishita Anubhai	Zhiqian Wang
Risi Kondor	Gautam Sargur
Risi Kondor	Horace Pan
Risi Kondor	Nedelina Teneva
Risi Kondor	Vikas K. Garg
Risi Kondor	Vikas Singh
Risi Kondor	Walter Dempsey
Rita Chattopadhyay	Ian Davidson
Rita Chattopadhyay	Jieping Ye
Rita Chattopadhyay	Sethuraman Panchanathan
Rita Chattopadhyay	Wei Fan 0001
Ritvik Mudur	Andrew Y. Ng
Ritvik Mudur	Bipin Suresh
Rizal Fathony	Anqi Liu
Rizal Fathony	Brian D. Ziebart
Rizal Fathony	Kaiser Asif
Rob E. Aguilar	David W. Tank
Rob E. Aguilar	H. Sebastian Seung
Rob E. Aguilar	Jan Homann
Rob E. Aguilar	Yi Gu
Rob Feick	Becca Coates
Rob Feick	Haydn Lawrence
Rob Feick	Krystelle Shaughnessy
Rob Feick	Thomas W. Jackson
Rob Fergus	Christoph Bregler
Rob Fergus	George Williams
Rob Fergus	Ian Spiro
Robert A. Legenstein	Christos H. Papadimitriou
Robert A. Legenstein	Santosh Vempala
Robert A. Legenstein	Wolfgang Maass 0001
Robert A. Vandermeulen	Clayton D. Scott
Robert B. Gramacy	Stefan M. Wild
Robert B. Gramacy	Sébastien Le Digabel
Robert C. Grande	Jonathan P. How
Robert C. Grande	Thomas J. Walsh
Robert C. Williamson	Mark D. Reid
Robert C. Williamson	Peng Sun
Robert D. Kleinberg	John C. S. Lui
Robert D. Kleinberg	Wei Chen
Robert D. Nowak	Benjamin Recht
Robert D. Nowak	Timothy T. Rogers
Robert D. Skeel	Hartmut Neven
Robert E. Kass	Geoffrey J. Gordon
Robert E. Kass	Sanjeev Khanna
Robert E. Kass	Tai Sing Lee
Robert Gens	Pedro M. Domingos
Robert J. Durrant	Ata Kabán
Robert M. Gower	Donald Goldfarb
Robert M. Gower	Peter Richtárik
Robert McGibbon	Bharath Ramsundar
Robert McGibbon	Gert Kiss
Robert McGibbon	Mohammad Sultan
Robert McGibbon	Vijay S. Pande
Robert Nishihara	Andrew Packard
Robert Nishihara	Benjamin Recht
Robert Nishihara	Laurent Lessard
Robert Nishihara	Michael I. Jordan
Robert Nishihara	Stefanie Jegelka
Robert Peharz	Franz Pernkopf
Robert Peharz	Sebastian Tschiatschek
Robert V. Lindsey	Matt Jones 0001
Robert V. Lindsey	Michael C. Mozer
Robert V. Lindsey	Michael Jones
Robert V. Lindsey	Mohammad Khajah
Robert V. Lindsey	William J. Huggins
Robert West 0001	John C. Mitchell
Robert West 0001	Trevor J. Hastie
Roberto Díaz-Morales	Ángel Navia-Vázquez
Robin Schirrmeister	Sabine Storandt
Rocco A. Servedio	Xiaorui Sun
Rodolphe Jenatton	Alexandre d'Aspremont
Rodolphe Jenatton	Antoine Bordes
Rodolphe Jenatton	Cédric Archambeau
Rodolphe Jenatton	Francis R. Bach
Rodolphe Jenatton	Guillaume Obozinski
Rodolphe Jenatton	Jim C. Huang
Rodolphe Jenatton	Nicolas Le Roux
Rodrigo Nogueira	Kyunghyun Cho
Roee Litman	Alexander M. Bronstein
Roee Litman	Guillermo Sapiro
Roee Litman	Tal Ben Yakar
Roger B. Grosse	Brendan J. Frey
Roger B. Grosse	Chris J. Maddison
Roger B. Grosse	Daniel M. Roy 0001
Roger B. Grosse	Joshua B. Tenenbaum
Roger B. Grosse	Ruslan Salakhutdinov
Roger B. Grosse	Siddharth Ancha
Roger B. Grosse	Zoubin Ghahramani
Roger Frigola	Carl E. Rasmussen
Roger Frigola	Fredrik Lindsten
Roger Frigola	Thomas B. Schön
Roger Frigola	Yutian Chen
Rohit Babbar	Ioannis Partalas
Rohit Babbar	Massih-Reza Amini
Rohit Babbar	Éric Gaussier
Rohit Vaish	Shivani Agarwal 0001
Roi Livni	Amir Globerson
Roi Livni	Aviv Zohar
Roi Livni	David Lehavi
Roi Livni	Hila Nachlieli
Roi Livni	Ohad Shamir
Roi Livni	Sagi Schein
Roi Livni	Shai Shalev-Shwartz
Roi Livni	Yishay Mansour
Roksana Boreli	Frank Nielsen
Roland Badeau	A. Taylan Cemgil
Roland Badeau	Gaël Richard
Roland Kwitt	Marc Niethammer
Roland Kwitt	Stefan Huber 0001
Roland Kwitt	Ulrich Bauer
Roland Kwitt	Weili Lin
Roland Memisevic	Christopher Zach
Roland Memisevic	Geoffrey E. Hinton
Roland Memisevic	Georgios Exarchakis
Roland Memisevic	Kishore Reddy Konda
Roland Memisevic	Marc Pollefeys
Roland Memisevic	Ruslan Salakhutdinov
Roland Memisevic	Yoshua Bengio
Rom Herskovitz	Boris Ginsburg
Rom Herskovitz	Michael Zibulevsky
Romain Couillet	Gilles Wainrib
Romain Couillet	Hafiz Tiomoko Ali
Romain Couillet	Harry Sevi
Romain Daniel Cazé	Boris S. Gutkin
Romain Daniel Cazé	Mark D. Humphries
Romain Paulus	Christopher D. Manning
Romain Paulus	Richard Socher
Roman Garnett	Carl E. Rasmussen
Roman Garnett	Cynthia Lo
Roman Garnett	Dennis L. Barbour
Roman Garnett	Jeff G. Schneider
Roman Garnett	John P. Cunningham
Roman Garnett	Kilian Q. Weinberger
Roman Garnett	Philipp Hennig
Roman Garnett	Richard P. Mann
Roman Garnett	Shirley Ho
Roman Garnett	Stephen J. Roberts
Roman Garnett	Xuehan Xiong
Roman Garnett	Yamuna Krishnamurthy
Roman Garnett	Zoubin Ghahramani
Romaric Gaudel	Michèle Sebag
Ron Appel	Pietro Perona
Ron Appel	Piotr Dollár
Ron Appel	Thomas J. Fuchs
Ron J. Weiss	Adam Berenzweig
Ron J. Weiss	Hector Yee
Ron Meir	Manfred Opper
Ronald Berezney	Jinhui Xu 0001
Ronald E. Parr	Lawrence Carin
Ronald E. Parr	Xuejun Liao
Ronald Ortner	Daniil Ryabko
Ronald Parr	Jonathan P. How
Ronald Parr	Shlomo Zilberstein
Ronan Collobert	Piotr Dollár
Ronan Le Bras	Bart Selman
Ronan Le Bras	Carla P. Gomes
Ronen Eldan	Joseph Lehec
Ronen Eldan	Tomer Koren
Rong Ge 0001	Aaron Sidford
Rong Ge 0001	Ankur Moitra
Rong Ge 0001	Chi Jin
Rong Ge 0001	David M. Mimno
Rong Ge 0001	David Sontag
Rong Ge 0001	Frederic Koehler
Rong Ge 0001	James Zou
Rong Ge 0001	Jason D. Lee
Rong Ge 0001	Michael Zhu
Rong Ge 0001	Praneeth Netrapalli
Rong Ge 0001	Sham Kakade
Rong Ge 0001	Sham M. Kakade
Rong Ge 0001	Sushant Sachdeva
Rong Ge 0001	Tengyu Ma
Rong Ge 0001	Yichen Wu
Rong Ge 0001	Yonatan Halpern
Rong Jin	Anil K. Jain 0001
Rong Jin	Haiqin Yang
Rong Jin	Irwin King
Rong Jin	Jiawei Han 0001
Rong Jin	Jinfeng Yi
Rong Jin	Lijun Zhang 0005
Rong Jin	Michael R. Lyu
Rong Jin	Ming Lin
Rong Jin	Pengcheng Wu
Rong Jin	Qi Qian
Rong Jin	Shaili Jain
Rong Jin	Shenghuo Zhu
Rong Jin	Xiaofei He
Rong Jin	Yang Zhou
Rong Jin	Yichi Xiao
Rong Jin	Zhi-Hua Zhou
Rong Yan	Lu Zheng
Rongda Zhu	Quanquan Gu
Ronggang Wang	Wen Gao 0001
Ronghang Hu	Jeff Donahue
Ronghang Hu	Kate Saenko
Ronghang Hu	Ross B. Girshick
Ronghang Hu	Trevor Darrell
Roni Khardon	Alan Fern
Roni Khardon	Prasad Tadepalli
Roni Mittelman	Benjamin Kuipers
Roni Mittelman	Honglak Lee
Roni Mittelman	Silvio Savarese
Ronny Lempel	Oren Somekh
Ronny Luss	Moni Shahar
Ronny Luss	Saharon Rosset
Rose Yu	Dehua Cheng
Rose Yu	Yan Liu 0002
Roshan Shariff	Csaba Szepesvári
Roshan Shariff	Tor Lattimore
Ross B. Girshick	Ali Farhadi
Ross B. Girshick	David A. McAllester
Ross B. Girshick	Deva Ramanan
Ross B. Girshick	Hyun Oh Song
Ross B. Girshick	Jian Sun 0001
Ross B. Girshick	Julien Mairal
Ross B. Girshick	Kate Saenko
Ross B. Girshick	Stefanie Jegelka
Ross B. Girshick	Trevor Darrell
Ross B. Girshick	Zaïd Harchaoui
Ross Boczar	Ben Recht
Ross Boczar	Mahdi Soltanolkotabi
Ross Boczar	Max Simchowitz
Ross Goroshin	Michaël Mathieu
Ross Goroshin	Yann LeCun
Roy Dong	S. Shankar Sastry
Roy Fox	Liam Paninski
Roy Fox	Naftali Tishby
Roy Fox	Tony Jebara
Roy Frostig	Aaron Sidford
Roy Frostig	Cameron Musco
Roy Frostig	Christopher D. Manning
Roy Frostig	Christopher Musco
Roy Frostig	John C. Duchi
Roy Frostig	Percy Liang
Roy Frostig	Rong Ge 0001
Roy Frostig	Sham Kakade
Roy Frostig	Sida I. Wang
Roy Frostig	Yoram Singer
Roy J. Adams	Abhinav Parate
Roy J. Adams	Benjamin M. Marlin
Roy J. Adams	Edison Thomaz
Roy J. Adams	Nazir Saleheen
Roy J. Adams	Santosh Kumar 0001
Ruben Kuzniecky	Carla E. Brodley
Ruben L. Gonzalez	Chris Wiggins
Rubén Moreno-Bote	Alexandre Pouget
Rudolf Lioutikov	Gerhard Neumann
Rudolf Lioutikov	Jan Peters 0001
Rudolf Lioutikov	Luís Paulo Reis
Rudolf Lioutikov	Nuno Lau
Rudy R. Bunel	Alban Desmaison
Rudy R. Bunel	Pawan Kumar Mudigonda
Rudy R. Bunel	Philip H. S. Torr
Rudy R. Bunel	Pushmeet Kohli
Rui F. Caseiro	Jorge Batista
Rui M. Castro	Andreas Krause 0001
Ruichu Cai	Zhenjie Zhang
Ruichu Cai	Zhifeng Hao
Ruijiang Li	Bin Li 0015
Ruijiang Li	Cheng Jin
Ruijiang Li	Xiangyang Xue
Ruiliang Zhang	James T. Kwok
Ruiping Wang 0001	Shiguang Shan
Ruiping Wang 0001	Xianqiu Li
Ruiping Wang 0001	Xilin Chen
Ruitong Huang	András György
Ruitong Huang	Csaba Szepesvári
Ruitong Huang	Tor Lattimore
Ruiyu Li	Jiaya Jia
Ruobing Xie	Yankai Lin
Ruobing Xie	Zhiyuan Liu 0001
Ruohan Zhang	Inderjit S. Dhillon
Ruohan Zhang	Pradeep Ravikumar
Ruoyu Sun	Mingyi Hong
Rupesh Kumar Srivastava	Faustino J. Gomez
Rupesh Kumar Srivastava	Jonathan Masci
Rupesh Kumar Srivastava	Jürgen Schmidhuber
Rupesh Kumar Srivastava	Klaus Greff
Rupesh Kumar Srivastava	Sohrob Kazerounian
Ruslan Salakhutdinov	Antonio Torralba 0001
Ruslan Salakhutdinov	Brendan J. Frey
Ruslan Salakhutdinov	Eric P. Xing
Ruslan Salakhutdinov	Geoffrey E. Hinton
Ruslan Salakhutdinov	Joel A. Tropp
Ruslan Salakhutdinov	Joshua B. Tenenbaum
Ruslan Salakhutdinov	Junyoung Chung
Ruslan Salakhutdinov	Nathan Srebro
Ruslan Salakhutdinov	Nati Srebro
Ruslan Salakhutdinov	Nebojsa Jojic
Ruslan Salakhutdinov	Ohad Shamir
Ruslan Salakhutdinov	Payman Yadollahpour
Ruslan Salakhutdinov	Raquel Urtasun
Ruslan Salakhutdinov	Richard S. Zemel
Ruslan Salakhutdinov	Ryan P. Adams
Ruslan Salakhutdinov	Sanja Fidler
Ruslan Salakhutdinov	Vince D. Calhoun
Ruslan Salakhutdinov	Yoshua Bengio
Ruslan Salakhutdinov	Yury Makarychev
Russell Greiner	András György
Russell Greiner	Hsiu-Chin Lin
Russell Greiner	Vickie Baracos
Rustem Takhanov	Vladimir Kolmogorov
Ruth Heller	Yair Heller
Ruth Urner	Shai Ben-David
Ruth Urner	Shai Shalev-Shwartz
Ryan Babbush	Changyou Chen
Ryan Babbush	Hartmut Neven
Ryan Babbush	Robert D. Skeel
Ryan Bogdan	Adam Gorka
Ryan Bogdan	Ahmad Hariri
Ryan Bogdan	Lawrence Carin
Ryan Burmeister	Ankit Patel
Ryan Burmeister	Bharat Singh
Ryan Burmeister	Tom Goldstein
Ryan Burmeister	Zheng Xu 0002
Ryan C. Kelly	Matthew A. Smith
Ryan C. Kelly	Robert E. Kass
Ryan C. Kelly	Tai Sing Lee
Ryan D. Turner	Bhargav Avasarala
Ryan D. Turner	Carl Edward Rasmussen
Ryan D. Turner	Clay J. Stanek
Ryan D. Turner	Steven Bottone
Ryan Giordano	Michael I. Jordan
Ryan Giordano	Tamara Broderick
Ryan Gomes	Andreas Krause 0001
Ryan Gomes	Peter Welinder
Ryan Gomes	Pietro Perona
Ryan Kiros	Aaron C. Courville
Ryan Kiros	Antonio Torralba 0001
Ryan Kiros	Csaba Szepesvári
Ryan Kiros	Dale Schuurmans
Ryan Kiros	Kyunghyun Cho
Ryan Kiros	Md. Mostofa Ali Patwary
Ryan Kiros	Nadathur Satish
Ryan Kiros	Narayanan Sundaram
Ryan Kiros	Prabhat
Ryan Kiros	Raquel Urtasun
Ryan Kiros	Richard S. Zemel
Ryan Kiros	Ruslan Salakhutdinov
Ryan Kiros	Ryan P. Adams
Ryan Kiros	Sanja Fidler
Ryan Kiros	Yoshua Bengio
Ryan Kiros	Yukun Zhu
Ryan M. Rogers	Aaron Roth
Ryan M. Rogers	Jonathan Ullman
Ryan M. Rogers	Salil P. Vadhan
Ryan M. Rogers	Steven Z. Wu
Ryan P. Adams	Benjamin Taskar
Ryan P. Adams	Brendan J. Frey
Ryan P. Adams	Jonathan W. Pillow
Ryan P. Adams	Kirk Goldsberry
Ryan P. Adams	Matthew D. Hoffman
Ryan P. Adams	Richard S. Zemel
Ryan P. Adams	Sandeep R. Datta
Ryan P. Adams	Zoubin Ghahramani
Ryan Prenger	Bo Xiao
Ryan Prenger	Chong Wang
Ryan Prenger	Dani Yogatama
Ryan Prenger	David Seetapun
Ryan Prenger	Jonathan Raiman
Ryan Prenger	Jun Zhan
Ryan Prenger	Sanjeev Satheesh
Ryan Prenger	Sheng Qian
Ryan Prenger	Shubho Sengupta
Ryan Prenger	Yan Xie
Ryan Prenger	Yi Wang
Ryan Prenger	Zhenyao Zhu
Ryan Prenger	Zhiqian Wang
Ryan Prescott Adams	Hugo Larochelle
Ryan Prescott Adams	Michael I. Jordan
Ryan Prescott Adams	Zoubin Ghahramani
Ryan R. Curtin	Alexander G. Gray
Ryan R. Curtin	Charles L. Isbell
Ryan R. Curtin	David V. Anderson
Ryan R. Curtin	Parikshit Ram
Ryan R. Curtin	William B. March
Ryohei Fujimaki	Chris H. Q. Ding
Ryohei Fujimaki	Feiping Nie
Ryohei Fujimaki	Ji Liu 0002
Ryohei Fujimaki	Kohei Hayashi
Ryohei Fujimaki	Yusuke Muraoka
Ryosuke Matsushita	Toshiyuki Tanaka
Ryota Kobayashi	Petr Lánský
Ryota Kobayashi	Shigeru Shinomoto
Ryota Kobayashi	Yasuhiro Tsubo
Ryota Tomioka	Daichi Mochihashi
Ryota Tomioka	Hisashi Kashima
Ryota Tomioka	Kohei Hayashi
Ryota Tomioka	Masataka Goto
Ryota Tomioka	S. Derin Babacan
Ryota Tomioka	Taiji Suzuki
Rémi Bardenet	Arnaud Doucet
Rémi Bardenet	Balázs Kégl
Rémi Bardenet	Christopher C. Holmes
Rémi Bardenet	Michalis K. Titsias
Rémi Bardenet	Michèle Sebag
Rémi Bardenet	Mátyás Brendel
Rémi Bardenet	Yoshua Bengio
Rémi Cuingnet	Habib Benali
Rémi Cuingnet	Marie Chupin
Rémi Cuingnet	Olivier Colliot
Rémi Emonet	Marc Sebban
Rémi Flamary	Amaury Habrard
Rémi Flamary	Cédric Févotte
Rémi Flamary	Nicolas Courty
Rémi Flamary	Valentin Emiya
Rémi Gribonval	Pierre Machart
Rémi Gribonval	Pierre Vandergheynst
Rémi Lajugie	Damien Garreau
Rémi Lajugie	Francis R. Bach
Rémi Lajugie	Sylvain Arlot
Rémi Lam	David H. Wolpert
Rémi Lam	Karen Willcox
Rémi Lebret	Pedro H. O. Pinheiro
Rémi Lebret	Ronan Collobert
Rémi Lemonnier	Kevin Scaman
Rémi Lemonnier	Nicolas Vayatis
Rémi Munos	Alex Graves
Rémi Munos	Anna Harutyunyan
Rémi Munos	Bert Kappen
Rémi Munos	Branislav Kveton
Rémi Munos	Csaba Szepesvári
Rémi Munos	Daniil Ryabko
Rémi Munos	Hilbert J. Kappen
Rémi Munos	Ivo Danihelka
Rémi Munos	Maarten de Rijke
Rémi Munos	Marc Lanctot
Rémi Munos	Matthew W. Hoffman
Rémi Munos	Maureen Clerc
Rémi Munos	Tom Stepleton
Rémy Degenne	Vianney Perchet
Róbert Busa-Fekete	Adil Paul
Róbert Busa-Fekete	Balázs Kégl
Róbert Busa-Fekete	Balázs Szörényi
Róbert Busa-Fekete	Djalel Benbouzid
Róbert Busa-Fekete	Eyke Hüllermeier
Róbert Busa-Fekete	István Hegedüs
Róbert Busa-Fekete	Karlson Pfannschmidt
Róbert Busa-Fekete	Krzysztof Dembczynski
Róbert Busa-Fekete	Márk Jelasity
Róbert Busa-Fekete	Paul Weng
Róbert Busa-Fekete	Róbert Ormándi
Róbert Busa-Fekete	Timo Klerx
Róbert Busa-Fekete	Weiwei Cheng
Róbert Ormándi	Balázs Kégl
Róbert Ormándi	Márk Jelasity
Rómer Rosales	Glenn Fung
Rómer Rosales	Jennifer G. Dy
S. Derin Babacan	Ichiro Takeuchi
S. Derin Babacan	Minh N. Do
S. Hamed Hassani	Andreas Krause 0001
S. M. Ali Eslami	Christopher K. I. Williams
S. M. Ali Eslami	Daniel Tarlow
S. M. Ali Eslami	David Szepesvari
S. M. Ali Eslami	Geoffrey E. Hinton
S. M. Ali Eslami	John M. Winn
S. M. Ali Eslami	Koray Kavukcuoglu
S. M. Ali Eslami	Max Jaderberg
S. M. Ali Eslami	Nicolas Heess
S. M. Ali Eslami	Peter Battaglia
S. M. Ali Eslami	Pushmeet Kohli
S. M. Ali Eslami	Shakir Mohamed
S. M. Ali Eslami	Theophane Weber
S. M. Ali Eslami	Yuval Tassa
S. V. N. Vishwanathan	Hartmut Neven
S. V. N. Vishwanathan	James Petterson
S. V. N. Vishwanathan	Manik Varma
S. V. N. Vishwanathan	Nawanol Ampornpunt
S. V. N. Vishwanathan	Yuan (Alan) Qi
S. V. N. Vishwanathan	Zhaonan sun
Sabine Storandt	Peter Sanders 0001
Sabine Storandt	Stefan Funke
Sabine Storandt	Walied Othman
Sabyasachi Chatterjee	John C. Duchi
Sabyasachi Chatterjee	John D. Lafferty
Sabyasachi Chatterjee	Yuancheng Zhu
Sachin S. Talathi	V. Sreekanth Annapureddy
Safiye Celik	Benjamin A. Logsdon
Safiye Celik	Su-In Lee
Sagi Schein	Amir Globerson
Sagi Schein	Hila Nachlieli
Sagi Schein	Shai Shalev-Shwartz
Sahand Negahban	Devavrat Shah
Sahand Negahban	Martin J. Wainwright
Sahand Negahban	Sewoong Oh
Sahar Akram	Behtash Babadi
Sahar Akram	Jonathan Z. Simon
Sahar Akram	Shihab A. Shamma
Sahar Harati	Hongyuan Zha
Sahar Harati	Le Song
Saharon Rosset	Moni Shahar
Sahely Bhadra	Aharon Ben-Tal
Sahely Bhadra	Chiranjib Bhattacharyya
Sahely Bhadra	Sourangshu Bhattacharya
Sainbayar Sukhbaatar	Arthur Szlam
Sainbayar Sukhbaatar	Jason Weston
Sainbayar Sukhbaatar	Rob Fergus
Saizheng Zhang	Aaron C. Courville
Saizheng Zhang	Roland Memisevic
Saizheng Zhang	Ruslan Salakhutdinov
Saizheng Zhang	Tong Che
Saizheng Zhang	Ying Zhang
Saizheng Zhang	Yoshua Bengio
Saizheng Zhang	Zhouhan Lin
Sajib Dasgupta	Vincent Ng
Sajid M. Siddiqi	Alexander J. Smola
Sajid M. Siddiqi	Geoffrey J. Gordon
Salah Rifai	Pascal Vincent
Salah Rifai	Xavier Glorot
Salah Rifai	Xavier Muller
Salah Rifai	Yann Dauphin
Salah Rifai	Yoshua Bengio
Saleema Amershi	Xiaojin Zhu 0001
Salem Hannoun	Dominique Sappey-Marinier
Salem Hannoun	Françoise Durand-Dubief
Salil P. Vadhan	Aaron Roth
Salil P. Vadhan	Jonathan Ullman
Salisu Mamman Abdulrahman	Pavel Brazdil
Salman Ahmad	Scott R. Klemmer
Salomon Diether	Luc J. Van Gool
Sam Gross	Rob Fergus
Sam Patterson	Massimiliano Pontil
Sam Patterson	Yee Whye Teh
Samaneh Azadi	Suvrit Sra
Sameer Sheorey	Rama Chellappa
Samet Oymak	Babak Hassibi
Samet Oymak	Benjamin Recht
Samet Oymak	Kannan Ramchandran
Samet Oymak	Michael I. Jordan
Samir Chowdhury	Facundo Mémoli
Samir Chowdhury	Zane T. Smith
Samira Shabanian	Asja Fischer
Samira Shabanian	Yoshua Bengio
Samory Kpotufe	Abdeslam Boularias
Samory Kpotufe	Bernhard Schölkopf
Samory Kpotufe	Dominik Janzing
Samory Kpotufe	Eleni Sgouritsa
Samory Kpotufe	Francesco Orabona
Samory Kpotufe	Ulrike von Luxburg
Samory Kpotufe	Vikas K. Garg
Samuel Gershman	David M. Blei
Samuel Gershman	Matthew D. Hoffman
Samuel Gershman	Robert Wilson
Samuel Livingstone	Arthur Gretton
Samuel Livingstone	Zoltán Szabó 0001
Samuel R. Bowman	Christopher D. Manning
Samuel R. Bowman	Christopher Potts
Samuel Rota Bulò	Antonio Criminisi
Samuel Rota Bulò	Horst Bischof
Samuel Rota Bulò	Lorenzo Porzi
Samuel Rota Bulò	Marcello Pelillo
Samuel Rota Bulò	Pushmeet Kohli
Samuel Tenka	Bernt Schiele
Samuel Tenka	Honglak Lee
Samy Bengio	Dale Schuurmans
Samy Bengio	David Grangier
Samy Bengio	Jason Weston
Samy Bengio	Jeffrey Dean
Samy Bengio	Marc'Aurelio Ranzato
Samy Bengio	Mike Schuster
Samy Bengio	Navdeep Jaitly
Samy Bengio	Noam Shazeer
Samy Bengio	Oriol Vinyals
Samy Bengio	Tomas Mikolov
Samy Bengio	Yonghui Wu
Samy Bengio	Zhifeng Chen
Sander Dieleman	Benjamin Schrauwen
Sander Dieleman	Jeffrey De Fauw
Sander Dieleman	Koray Kavukcuoglu
Sander M. Bohte	Jaldert O. Rombouts
Sander M. Bohte	Pieter R. Roelfsema
Sandhya Prabhakaran	Ambrose Carr
Sandhya Prabhakaran	Dana Pe'er
Sandhya Prabhakaran	Elham Azizi
Sandhya Prabhakaran	Thomas J. Fuchs
Sandhya Prabhakaran	Volker Roth 0001
Sandra Ebert	Bernt Schiele
Sandrine Anthoine	Hervé Glotin
Sandrine Anthoine	Liva Ralaivola
Sandro Vega-Pons	Emanuele Olivetti
Sandro Vega-Pons	Paolo Avesani
Sang-Woo Lee	Byoung-Tak Zhang
Sang-Woo Lee	Dong-Hyun Kwak
Sang-Woo Lee	Jeonghee Kim
Sang-Woo Lee	JungWoo Ha
Sang-Woo Lee	Min-Oh Heo
Sang-Yun Oh	Bala Rajaratnam
Sang-Yun Oh	Kshitij Khare
Sang-Yun Oh	Onkar Dalal
Sanghack Lee	Judea Pearl
Sanghack Lee	Vasant G. Honavar
Sanghamitra Dutta	Pulkit Grover
Sanghamitra Dutta	Viveck R. Cadambe
Sanghyuk Park	Chang D. Yoo
Sanghyuk Park	Jongmin Kim
Sangkyun Lee 0002	Stephen J. Wright
Sanja Fidler	Raquel Urtasun
Sanja Fidler	Sven J. Dickinson
Sanjay Krishnan	Michael I. Jordan
Sanjay Krishnan	Thomas Hofmann
Sanjay Purushotham	Yan Liu
Sanjeev Arora	Aditya Bhaskara
Sanjeev Arora	Ankur Moitra
Sanjeev Arora	David M. Mimno
Sanjeev Arora	David Sontag
Sanjeev Arora	Frederic Koehler
Sanjeev Arora	Michael Zhu
Sanjeev Arora	Rong Ge 0001
Sanjeev Arora	Sushant Sachdeva
Sanjeev Arora	Tengyu Ma
Sanjeev Arora	Yichen Wu
Sanjeev Arora	Yonatan Halpern
Sanjeev Khanna	Geoffrey J. Gordon
Sanjeev Khanna	Matthew A. Smith
Sanjeev Satheesh	Alexander C. Berg
Sanjeev Satheesh	Bo Xiao
Sanjeev Satheesh	Chong Wang
Sanjeev Satheesh	Dani Yogatama
Sanjeev Satheesh	David Seetapun
Sanjeev Satheesh	Fei-Fei Li
Sanjeev Satheesh	Jun Zhan
Sanjeev Satheesh	Shubho Sengupta
Sanjeev Satheesh	Yan Xie
Sanjeev Satheesh	Yi Wang
Sanjeev Satheesh	Zhenyao Zhu
Sanjeev Satheesh	Zhiqian Wang
Sanjiv Kumar	Shih-Fu Chang
Sanjiv Kumar	Svetlana Lazebnik
Sanjiv Kumar	Tony Jebara
Sanjiv Kumar	Vishal Verma
Sanjiv Kumar	Yann LeCun
Sanjoy Dasgupta	Samory Kpotufe
Sanjoy Dasgupta	Yoav Freund
Sanjoy Sarkar	Artur S. d'Avila Garcez
Sanjoy Sarkar	Chris Percy
Sanjoy Sarkar	Gregory G. Slabaugh
Sanjoy Sarkar	Simo Dragicevic
Sanjoy Sarkar	Tillman Weyde
